Method,Dataset,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SPICE
BKI_ours_4,humaneval,0.605072072,0.526424767,0.464122669,0.416573891,0.353319567,0.543956615,2.052416725,0.527459535
BKI_ours_4,openeval,0.608024196,0.52814624,0.466279185,0.41703485,0.351949316,0.533250157,1.888996007,0.486161693
BKI_ours_6,humaneval,0.626772906,0.549308482,0.485988686,0.436609397,0.361226085,0.544519628,1.781221887,0.510377448
BKI_ours_6,openeval,0.630861745,0.549951011,0.486598064,0.437332327,0.358470591,0.544230037,2.041301327,0.50510689
