Method,Dataset,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SPICE
ours_4,humaneval,0.579459509,0.492121822,0.42374395,0.370721762,0.326411059,0.524553608,1.304996547,0.448911359
ours_4,openeval,0.524068077,0.439665246,0.375836291,0.326838653,0.303981526,0.495187883,1.344588489,0.413820005
ours_6,humaneval,0.583318437,0.495578501,0.42787794,0.37596396,0.329124439,0.515386708,1.375090218,0.440097843
ours_6,openeval,0.501447293,0.419661756,0.358310072,0.311166444,0.295859455,0.467000851,1.2614874,0.402418172
