Method,Dataset,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,SPICE
DECE_ours_4,humaneval,0.2657428390979579,0.2210012065129471,0.1864397966477382,0.1603243966761733,0.3194781215410444,0.3373438150184902,0.0161347969564742,0.3944599964373365
DECE_ours_4,openeval,0.2691590126291522,0.22389906924639,0.1892433984336582,0.163250690041904,0.322750451215008,0.3343013265486221,0.0055957128669508,0.3735845149254819
DECE_ours_6,humaneval,0.2684410930267183,0.2250002277048045,0.1922700464244174,0.167770367254604,0.3262135745069136,0.3180332582407862,0.0265222275162685,0.3693881101216439
DECE_ours_6,openeval,0.2654758991925525,0.2220831869215429,0.1893837337119398,0.1649654123719348,0.3246335142026612,0.3093482818607798,0.0320842960182819,0.3398672401688664
